code,name,bucket,estab,years,scale,company,ftype,index_name,managers,cur_start,tenure,mgr_changes_5y,fee_now,sgzt,cagr1,cagr3,cagr5,cagr8,cagr10,cagr_since,vol5,mdd5,mdd10,mdd_all,max_year_key,max_year,sharpe1y,latest,siblings,score,selected
270042,广发纳斯达克100ETF联接人民币(QDII)A,QDII/海外,2012-08-15,14.0671,122.2313,广发基金,指数型-海外股票,纳斯达克100指数,刘杰,2019-04-12,7.4114,0,0.13%,限大额,16.0317,19.7916,12.8674,17.0465,18.9994,17.6137,22.7512,-31.1762,-31.1762,-31.1762,2023,55.5314,0.7775,2026-09-09,['006479'],65.2,1
000218,国泰黄金ETF联接A,QDII/海外,2016-04-13,10.4093,127.9416,国泰基金,指数型-其他,黄金9999,艾小军,2021-07-21,5.1389,0,0.07%,开放申购,14.2449,25.8799,19.9659,16.6179,12.1171,12.5963,17.5726,-29.7976,-29.7976,-29.7976,2025,55.4178,0.4104,2026-09-10,['004253'],64.8,1
002610,博时黄金ETF联接A,QDII/海外,2016-05-27,10.2888,48.3299,博时基金,指数型-其他,黄金9999,"赵云阳,王祥",2016-11-02,9.8535,0,0.06%,开放申购,13.7051,24.6500,18.9631,16.1025,11.7581,11.6224,17.1940,-29.7362,-29.7362,-29.7362,2025,52.9533,0.3995,2026-09-10,['002611'],63.2,1
000216,华安黄金ETF联接A,QDII/海外,2013-08-22,13.0513,97.2242,华安基金,指数型-其他,黄金9999,许之彦,2018-09-28,7.9507,0,0.06%,开放申购,14.0741,25.3789,19.4523,16.4145,11.9050,9.5702,17.4653,-29.9823,-29.9823,-29.9823,2025,55.5030,0.4085,2026-09-10,['000217'],60.4,1
000834,大成纳斯达克100ETF联接(QDII)A,QDII/海外,2014-11-13,11.8220,48.8689,大成基金,指数型-海外股票,纳斯达克100指数,冉凌浩,2014-11-13,11.8220,0,0.12%,限大额,15.8646,18.9884,12.7146,16.8579,18.2547,16.8207,22.3749,-30.1102,-30.1102,-30.1102,2023,55.8653,0.7770,2026-09-09,[],59.2,1
160213,国泰纳斯达克100指数,QDII/海外,2010-04-29,16.3641,21.7701,国泰基金,指数型-海外股票,纳斯达克100指数,朱丹,2022-01-27,4.6160,1,0.15%,限大额,17.3662,21.1109,13.7709,17.8803,19.5871,17.4559,22.8673,-31.3412,-31.3412,-31.3412,2023,57.8381,0.8399,2026-09-09,[],58.4,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII/海外,2017-01-25,9.6208,19.6174,汇添富基金,QDII-混合灵活,,杨瑨,2018-05-16,8.3176,0,0.16%,限大额,19.5133,25.2025,12.7950,17.4675,,18.9521,24.3394,-35.9608,-42.0392,-42.0392,2020,58.3014,0.7154,2026-09-09,[],54.4,1
378546,摩根全球天然资源混合(QDII)A,QDII/海外,2012-03-26,14.4559,2.8726,摩根基金(中国),QDII-混合偏股,,张军,2012-03-26,14.4559,0,0.16%,限大额,41.4580,17.9534,17.1792,11.3375,10.8852,3.5474,19.8775,-25.2619,-40.5440,-64.5719,2016,45.4343,2.1635,2026-09-09,[],54.4,1
040046,华安纳斯达克100ETF联接(QDII)A,QDII/海外,2013-08-02,13.1034,58.1004,华安基金,指数型-海外股票,纳斯达克100指数,倪斌,2018-09-28,7.9480,0,0.12%,限大额,16.2099,19.2384,12.5632,17.4128,18.8928,17.3823,22.6043,-31.2434,-31.2434,-31.2434,2023,56.1093,0.7913,2026-09-09,[],50.8,1
270023,广发全球精选股票(QDII)人民币A,QDII/海外,2010-08-18,16.0602,183.5386,广发基金,QDII-普通股票,,李耀柱,2021-05-14,5.3224,0,0.16%,限大额,44.2883,31.9463,13.8817,19.7096,17.3968,14.2492,26.5678,-49.2770,-54.4000,-54.4000,2020,95.9953,1.4555,2026-09-09,[],50.7,1
