code,name,bucket,estab,years,scale,company,ftype,index_name,managers,cur_start,tenure,mgr_changes_5y,fee_now,sgzt,cagr1,cagr3,cagr5,cagr8,cagr10,cagr_since,vol5,mdd5,mdd10,mdd_all,max_year_key,max_year,sharpe1y,latest,siblings,a5,a10,asince,r5_api,r10_api,rsince_api,score,selected
006373,国富全球科技互联混合(QDII)人民币A,QDII/海外,2018-11-20,7.8193,58.8327,国海富兰克林基金,QDII-混合偏股,,"徐成,狄星华",2018-11-20,7.8193,0,0.15%,限大额,57.7322,39.6600,22.5359,,,27.1513,25.4981,-34.5328,-34.5328,-34.5328,2020,55.3942,1.5362,2026-09-15,['021842'],22.5360,,27.1513,176.2600,,554.2100,89.8,1
001668,汇添富全球移动互联混合(QDII)人民币A,QDII/海外,2017-01-25,9.6372,19.6174,汇添富基金,QDII-混合灵活,,杨瑨,2018-05-16,8.3340,0,0.16%,限大额,13.4521,24.8413,12.4930,17.0826,,18.5933,24.3611,-35.9608,-42.0392,-42.0392,2020,58.3014,0.7154,2026-09-15,[],12.7952,,18.9168,82.5800,,431.0500,79.3,1
100055,富国全球科技互联网股票(QDII)A,QDII/海外,2011-07-13,15.1759,66.9439,富国基金,QDII-普通股票,,赵年珅,2025-11-13,0.8378,3,0.15%,限大额,36.3817,31.9136,14.6873,15.9612,15.7553,10.9983,23.6764,-35.3692,-46.9393,-46.9393,2020,52.5354,1.6968,2026-09-15,[],15.3799,15.7553,11.4752,104.4800,,419.9600,73.1,1
270023,广发全球精选股票(QDII)人民币A,QDII/海外,2010-08-18,16.0767,183.5386,广发基金,QDII-普通股票,,李耀柱,2021-05-14,5.3388,0,0.16%,限大额,35.2501,30.4914,13.1667,19.0584,17.1301,13.9053,26.5826,-49.2770,-54.4000,-54.4000,2020,95.9953,1.4555,2026-09-15,[],13.8812,17.1301,14.2337,91.5400,,749.4500,68.6,1
005698,华夏全球科技先锋混合(QDII)A(人民币),QDII/海外,2018-04-17,8.4134,97.5058,华夏基金,QDII-混合偏股,,李湘杰,2018-04-17,8.4134,0,0.15%,限大额,22.2897,27.3975,10.6803,12.1767,,11.9170,31.8507,-45.5330,-54.2771,-54.2771,2023,60.3390,0.7592,2026-09-15,[],12.6055,,12.6270,81.0500,,171.9500,65.2,1
007280,摩根日本精选股票(QDII)A,QDII/海外,2019-07-31,7.1294,23.9388,摩根基金(中国),QDII-普通股票,,张军,2019-07-31,7.1294,0,0.15%,限大额,14.3324,13.5598,8.3659,,,11.9542,20.8733,-19.3474,-26.5605,-26.5605,2020,18.8987,0.5847,2026-09-16,['019449'],8.3661,8.3834,11.9542,49.4400,123.6800,123.6800,62.4,1
457001,国富亚洲机会股票(QDII)A,QDII/海外,2012-02-22,14.5626,11.5757,国海富兰克林基金,QDII-普通股票,,徐成,2016-02-24,10.5572,0,0.15%,限大额,66.4036,31.2401,11.2631,15.4317,13.9672,8.1616,25.7578,-38.4615,-48.5189,-48.5189,2025,55.5383,2.4329,2026-09-15,[],11.6812,13.9672,8.5982,73.7400,,232.4100,61.9,1
539002,建信新兴市场混合(QDII)A,QDII/海外,2011-06-21,15.2361,20.5710,建信基金,QDII-混合偏股,,"李博涵,程星烨,房乐",2024-06-18,2.2423,1,0.16%,限大额,74.1788,43.9728,19.1609,12.0587,11.6565,5.5583,31.7914,-35.8475,-39.8882,-39.8882,2026,55.2076,2.3583,2026-09-15,[],20.4146,11.6565,6.1593,153.1600,,148.6000,58.1,1
000934,国富大中华精选混合,QDII/海外,2015-02-03,11.6140,22.2811,国海富兰克林基金,QDII-混合偏股,,徐成,2016-02-24,10.5572,0,0.15%,开放申购,9.2092,18.8745,3.6540,12.4693,12.7006,10.5040,22.6028,-39.5212,-46.6363,-46.6363,2020,60.2251,0.4317,2026-09-15,[],3.6532,12.7006,10.5040,19.6500,,219.0000,56.7,1
519696,交银环球精选混合(QDII)A,QDII/海外,2008-08-22,18.0643,5.3758,交银施罗德基金,QDII-混合偏股,,"陈舒薇,蔡铮",2026-01-22,0.6461,2,0.15%,开放申购,5.1374,13.4129,5.4679,9.1151,10.0827,9.2692,14.5637,-23.3899,-25.2678,-30.2525,2009,64.6488,0.5877,2026-09-15,[],5.4068,10.0827,9.5647,30.1200,,420.7400,51.7,1
